NRBUDKI;KOLONIA;GATUNEK;LJAJ[k];DATA1ZNIE;DATAZNIE;NRJAJA;KOLZNIE;CIEZAR_ZNIE;DLUGOSC;SREDNICA;LOSJAJA
1/92;DAB;Cyanistes;8;06.05.1994;06.05.1994;1;1;2.06;17.66;14.02;WYKL
2/92;DAB;Cyanistes;8;06.05.1994;07.05.1994;2;2;1.82;17.49;13.6;WYKL
3/88;DAB;Cyanistes;8;06.05.1994;08.05.1994;3;3;1.73;18.39;14.1;WYKL
4/93;DAB;Cyanistes;8;06.05.1994;09.05.1994;4;4;2.03;20;13.23;WYKL
5/82;DAB;Cyanistes;8;06.05.1994;10.05.1994;5;5;2.16;18.74;13.3;niewykl
6/93;DAB;Cyanistes;8;06.05.1994;11.05.1994;6;6;2.24;18.25;13.58;WYKL
7/93;DAB;Cyanistes;8;06.05.1994;12.05.1994;7;7;2.13;18.4;13.86;WYKL
8/88;DAB;Cyanistes;8;06.05.1994;13.05.1994;8;8;1.94;19.44;13.27;WYKL
9/83;DAB;Muscicapa;5;12.05.1994;12.05.1994;1;1;2.24;22.57;14.73;niewykl
10/88;DAB;Muscicapa;5;12.05.1994;13.05.1994;2;2;1.95;20.1;16.18;niewykl
11/88;DAB;Muscicapa;5;12.05.1994;14.05.1994;3;3;2.08;21;14.26;niewykl
12/92;DAB;Muscicapa;5;12.05.1994;15.05.1994;4;4;3.05;20.86;15.17;niewykl
13/92;DAB;Muscicapa;5;12.05.1994;16.05.1994;5;5;2.67;21.84;13.97;niewykl
14/83;DZP;Muscicapa;3;06.05.1994;06.05.1994;1;1;2.56;24.83;15.11;niewykl
14/83;DZP;Muscicapa;3;06.05.1994;07.05.1994;2;2;2.13;23.28;15.28;niewykl
14/83;DZP;Muscicapa;3;06.05.1994;08.05.1994;3;3;3.01;24.05;14.37;niewykl
15/93;DZL;PD;4;03.05.1994;03.05.1994;1;1;2.15;19.73;15.38;WYKL
15/93;DZL;PD;4;03.05.1994;04.05.1994;2;2;1.93;24.83;15.15;WYKL
15/93;DZL;PD;4;03.05.1994;05.05.1994;3;3;2.27;23.78;15.2;WYKL
15/93;DZL;PD;4;03.05.1994;06.05.1994;4;4;2.72;20.4;14.23;WYKL
16/93;DAB;PM;5;26.04.1994;26.04.1994;1;1;2.11;18.66;13.87;WYKL
16/93;DAB;PM;5;26.04.1994;27.04.1994;2;2;2.1;19.64;13.52;WYKL
16/93;DAB;PM;5;26.04.1994;28.04.1994;3;3;2.24;18;14.44;WYKL
16/93;DAB;PM;5;26.04.1994;29.04.1994;4;4;2.52;21.22;13.82;WYKL
16/93;DAB;PM;5;26.04.1994;30.04.1994;5;5;2.25;18.62;14.05;WYKL
21/76;DZP;ParusMayor;6;26.04.1994;26.04.1994;1;1;1.81;19.6;14.8;WYKL
21/76;DZP;ParusMayor;6;26.04.1994;27.04.1994;2;2;2.32;20.64;14.96;WYKL
21/76;DZP;ParusMayor;6;26.04.1994;28.04.1994;3;3;2.43;19.49;14.76;WYKL
21/76;DZP;ParusMayor;6;26.04.1994;29.04.1994;4;4;2.27;20.83;15.34;WYKL
21/76;DZP;ParusMayor;6;26.04.1994;30.04.1994;5;5;2.59;20.74;15.37;WYKL
21/76;DZP;ParusMayor;6;26.04.1994;01.05.1994;6;6;2.56;20.27;15.22;WYKL
24/83;SZP;PM;5;25.04.1994;25.04.1994;1;1;2.13;17.99;13.98;niewykl
24/83;SZP;PM;5;25.04.1994;26.04.1994;2;2;2;20.4;13.78;WYKL
24/83;SZP;PM;5;25.04.1994;27.04.1994;3;3;1.85;17.69;13.88;WYKL
24/83;SZP;PM;5;25.04.1994;28.04.1994;4;4;2.01;18.8;14.61;WYKL
24/83;SZP;PM;5;25.04.1994;29.04.1994;5;5;2.04;18.47;14.73;niewykl
27/88;SZP;Cyanistes;6;02.05.1994;02.05.1994;1;01.02.2003;2.24;19.03;13.47;WYKL
27/88;SZP;Cyanistes;6;02.05.1994;03.05.1994;2;01.02.2003;2.55;18.19;13.58;WYKL
27/88;SZP;Cyanistes;6;02.05.1994;04.05.1994;3;01.02.2003;2.16;17.84;13.83;niewykl
27/88;SZP;Cyanistes;6;02.05.1994;05.05.1994;4;4;2.25;17.42;13.66;WYKL
27/88;SZP;Cyanistes;6;02.05.1994;06.05.1994;5;5;2.29;16.73;13.6;WYKL
27/88;SZP;Cyanistes;6;02.05.1994;07.05.1994;6;6;2.62;18.41;13.05;WYKL
32/93;DZP;Ficedula;5;16.05.1994;16.05.1994;1;1;2.55;22.31;16.45;WYKL
32/93;DZP;Ficedula;5;16.05.1994;17.05.1994;2;2;2.33;23.51;16.42;WYKL
32/93;DZP;Ficedula;5;16.05.1994;18.05.1994;3;3;2.12;23.79;16.54;WYKL
32/93;DZP;Ficedula;5;16.05.1994;19.05.1994;4;4;2.65;24.15;14.77;WYKL
32/93;DZP;Ficedula;5;16.05.1994;20.05.1994;5;5;2.59;23.51;15.06;WYKL
35/83;DAB;PM;6;01.05.1994;01.05.1994;1;01.lut;2.57;18.33;13.89;niewykl
35/83;DAB;PM;6;01.05.1994;02.05.1994;2;01.lut;2.21;19.29;13.93;WYKL
35/83;DAB;PM;6;01.05.1994;03.05.1994;3;3;2.56;19.56;14.72;WYKL
35/83;DAB;PM;6;01.05.1994;04.05.1994;4;4;2.38;18.68;13.48;WYKL
35/83;DAB;PM;6;01.05.1994;05.05.1994;5;5;2.19;18.6;13.89;WYKL
35/83;DAB;PM;6;01.05.1994;06.05.1994;6;6;1.92;19.66;13.46;WYKL
37/82;DAB;PD;5;28.04.1994;28.04.1994;1;1;2.14;23.1;16.13;WYKL
37/82;DAB;PD;5;28.04.1994;29.04.1994;2;2;2.55;21.86;15.97;WYKL
37/82;DAB;PD;5;28.04.1994;30.04.1994;3;3;2.2;21.97;15.02;niewykl
37/82;DAB;PD;5;28.04.1994;01.05.1994;4;4;1.94;21.84;15.73;WYKL
37/82;DAB;PD;5;28.04.1994;02.05.1994;5;5;1.77;21.23;14.69;WYKL
39/88;DZL;ParusMayor;6;05.05.1994;05.05.1994;1;1;2.23;20.03;14.87;niewykl
39/88;DZL;ParusMayor;6;05.05.1994;06.05.1994;2;2;2.59;19.64;14.46;niewykl
39/88;DZL;ParusMayor;6;05.05.1994;07.05.1994;3;3;2.08;21.53;15.83;WYKL
39/88;DZL;ParusMayor;6;05.05.1994;08.05.1994;4;4;2.14;19.92;14.94;WYKL
